country,USA,JPN,KOR,DEU,FRA,NLD,BEL,LUX
USA,,653548000000,66141000000,397918000000,227316000000,705473000000,67212000000,310397000000
JPN,67063555418,,8121021995,3192297608,25495663003,18860630271,129059618,5597186030
KOR,35905601267,60607790358,,9543157851,7017182594,19553950130,1357594697,1618262987
DEU,107606750481,35255408314,6879601314,,55545361876,203223468116,15728848114,241924340242
FRA,65714123910,11031826934,1624193000,114191867709,,111856382376,61062407974,202874617737
NLD,1070471174538,98366745951,6864877110,344021973043,178082455544,,186627024578,475809264922
BEL,32142938045,21509797259,1698946653,24354966587,148602333220,116759542417,,118813002605
LUX,921914146562,7500283158,1445237286,151432778344,27717748329,281322913127,147268093782,
