country,USA,JPN,KOR,DEU,FRA,NLD,BEL,LUX
USA,,59852000000,34355000000,201345000000,101406000000,995375000000,64377000000,522397000000
JPN,705733774928,,40266034811,46588559650,15322743288,143063561412,27686022831,27099318582
KOR,182752346438,18350146310,,6119885687,3011355747,14171012660,1682504608,32526649982
DEU,421941436464,12468508287,10469613260,,137841988950,338545856354,42566850829,291818784530
FRA,257414364641,18546961326,6019889503,74341436464,,225036464088,145177900552,81324861878
NLD,763111602210,31903867403,20871823204,318541436464,169887292818,,95455248619,223586740331
BEL,30577900552,1811049724,796685083,18763535912,89552486188,202324861878,,149241988950
LUX,654065193370,8437569061,6197790055,257266298343,210538121547,465198895028,149674033149,
